Date,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
3/14/22,21851,70141,41300,51678,31900,64416,103191,32483,17886,34661,22371,112584,64800,53625,15650,149589,37548,32500,48500,25379,71292,72384,24818,78300,145000,73301,24001,32000
3/15/22,21918,71927,42100,51678,31950,63854,105138,32970,17952,34926,22335,116720,64653,53721,16400,146966,37635,32700,48600,25832,68667,72384,24962,78300,148000,73301,24601,31750
3/16/22,21918,73415,41600,52710,32000,64275,106306,32824,17919,34964,22689,116224,64653,53913,16300,149589,38069,32900,49050,25735,69853,72093,25424,78100,147000,73396,24535,31750
3/17/22,22052,73415,43500,52710,32700,64556,103191,32921,18150,34775,22795,114156,64358,53529,16300,149589,38069,32800,49000,25638,70276,71898,25510,78200,145000,73301,24301,32250
3/18/22,21918,75400,43900,52616,32800,66731,106014,33116,18216,35191,22689,113081,64751,53625,16100,147161,38069,33100,49200,25573,71292,72481,25568,78800,148200,72161,24168,33000
3/21/22,22019,76292,43800,54867,32850,66871,110979,33700,18678,35456,22759,119946,66375,53721,16200,147841,38504,33100,49450,25832,71885,75299,25857,81000,143300,73680,24535,33200
3/22/22,22252,75201,43500,54867,33000,67643,111953,33749,18678,35494,22936,122842,66523,54488,16500,149589,38547,34050,49900,26221,71885,75785,26030,82200,140800,73016,24568,33200
3/23/22,22186,75102,43400,55336,32850,67714,109324,34480,18480,35418,22724,121601,66424,53721,16900,152989,38417,34000,49600,25929,71885,75008,25972,81400,141000,72256,24435,32850
3/24/22,21985,74011,43100,55149,32550,67363,109324,33993,18546,35116,22653,121270,65932,53721,16800,153280,38069,33650,49300,25962,70699,73550,25799,81000,144000,71781,24235,32800
3/25/22,21851,73316,43450,54867,32200,67152,107766,33798,18447,35116,22477,121105,68343,53721,16600,152989,37765,33650,49250,25832,69853,73744,25683,81000,143000,71402,24501,32700
3/28/22,21618,71927,41600,54867,31800,68836,107572,32970,18084,34737,22265,120443,70852,53721,16050,153086,36722,31850,48800,25541,69768,72773,25366,80500,140800,69693,24168,32000
3/29/22,21618,71431,42400,57587,32000,73608,108935,33603,18183,34699,22618,119119,72083,54105,16250,153474,37070,32300,48900,26091,69345,74327,25914,80800,142900,71686,24268,32550
3/30/22,21785,71431,43550,57868,32050,74380,107182,32970,18678,34434,23077,119119,71049,52762,15950,153377,36766,32250,49150,25897,69429,73647,27126,81100,140500,72351,24535,32500
3/31/22,22085,72820,43500,57681,32450,75081,105430,33116,18711,34132,23289,117630,71738,52953,15850,154446,36505,31700,49550,25994,69514,73647,27155,81200,140500,76814,24801,33450
4/1/22,22319,71927,44350,59463,33050,77888,106793,33652,19437,34586,23537,121187,76757,52857,16000,160565,37287,32200,50300,26706,70107,74036,27646,82100,140900,77573,25735,34050
4/4/22,22386,73217,44250,59650,32850,76695,109421,35551,19206,34699,23325,124083,76265,53913,16200,161731,39112,32200,49650,26706,69937,74133,27588,82700,142900,78048,26001,34050
4/5/22,22052,73713,43300,59838,32350,76485,111271,35454,18975,34888,23077,125406,76363,53817,16350,161440,38504,31800,49050,26415,70276,74230,27040,82300,141500,76339,25535,33650
4/6/22,22186,73911,43500,61151,32600,79291,110687,36038,19140,35759,23572,127226,78135,53721,16400,164645,38765,32350,49900,26641,71631,74133,27357,80500,141000,75295,26635,33600
4/7/22,22453,72026,43050,60401,32550,79502,109811,35356,19074,35229,23820,124910,76265,54296,16650,161731,38287,31900,49300,26544,70276,72870,26953,79500,137000,74535,26535,32650
4/8/22,22620,73415,41900,59557,32050,76134,107280,33944,18645,35116,23466,122842,73805,53913,16200,159497,37374,31000,48850,26026,70276,72967,25972,81700,138400,73396,25868,32200
4/12/22,22353,73415,40450,56274,31000,77046,106014,32142,18348,34132,22795,124485,75133,52378,15600,158623,36331,30800,48000,24634,69768,70927,25510,81300,138000,72921,26001,31100
4/13/22,22486,75201,40900,59369,31500,80765,107182,33603,18480,34207,23042,125974,76855,52474,15700,158817,36983,31350,48000,25897,69768,71024,25972,82200,138100,73301,26001,31850
4/14/22,22587,76193,40500,58619,31200,81818,108643,33652,18018,33980,22830,124782,78479,52474,15550,162119,36505,30800,47300,25282,68583,70247,25828,81700,136900,72446,26335,31850
4/15/22,22419,78376,39300,62652,31000,80695,112050,35064,17358,33451,22194,124088,78823,52474,14700,163771,34766,30100,45600,24181,67905,69081,25279,80700,135900,72636,25668,31500
4/18/22,21918,79170,37950,62652,29200,81046,112245,35843,17160,32278,21416,123095,78823,50747,14500,165131,32594,29000,44850,24537,65789,67818,24933,79500,138300,73111,24435,31350
4/19/22,21150,79269,37950,61620,28750,78590,110882,34090,17094,32769,20710,119620,76757,48924,13500,164062,30421,27500,43700,23437,65789,66943,24529,78800,143100,72161,23868,30850
4/20/22,21317,75896,37950,60026,28700,78590,103775,31704,16995,32694,20851,123393,76757,49212,13050,167073,30594,27550,43050,22983,66381,64903,23865,79300,142000,71781,23468,30650
4/21/22,21050,72423,38500,62370,29000,78590,102218,29707,16434,32807,21204,122102,76511,48253,13300,164839,31333,27650,43600,22530,66381,62182,24241,77500,136500,71212,23668,30500
4/22/22,21584,74904,38500,59088,29400,77958,109324,28733,16599,33148,21204,122400,76658,48061,13350,165422,31333,28800,44100,22789,69599,62863,24529,77700,138200,72066,24535,30900
4/25/22,20381,75896,35850,54961,27350,72555,101731,26736,15543,30840,19861,115153,71295,44703,12450,153863,29160,26800,41050,22336,69260,61211,23057,76200,131000,69787,22834,29050
4/26/22,20649,77681,36900,58056,27650,73187,106112,27759,16170,31180,20745,115153,73214,45855,13000,164159,29986,27400,41500,22627,68159,63154,23721,78000,129000,72066,24268,31050
4/27/22,20649,77582,37200,57681,28300,72275,108059,28343,16500,32164,20992,118131,72427,46334,12950,164159,29899,28200,41600,22530,69006,63154,24125,78000,129000,71212,23968,30500
4/28/22,20715,82344,36700,56274,28200,74029,104846,28003,16632,32618,20816,115650,71344,45855,12800,160274,29117,27700,42300,21753,69006,62668,23894,77900,129000,70547,24335,29850
4/29/22,21851,85221,37250,58244,27750,73678,103191,28100,16698,32769,21063,115153,73411,46046,13150,157457,29160,27700,44000,21753,68498,63154,24818,80000,129900,70452,24468,30900
5/4/22,21217,83336,37250,59088,27000,73327,105138,27321,16368,31786,20427,112274,73559,46670,14050,158817,27813,26750,42000,20718,67651,62668,23317,79700,130300,68838,23868,29950
5/5/22,21183,85321,38200,60026,27900,73467,106501,27467,16599,31823,20498,118131,73509,45663,14150,164548,26944,26900,42600,22142,68583,66846,24125,80000,130800,68458,23701,30300
5/6/22,20715,79864,37000,59838,27000,70310,106890,26103,15873,31634,19791,116146,72132,43936,13900,162702,25075,25500,41500,21753,67228,66749,23433,79800,128000,66654,22768,29600
5/9/22,20448,74308,34450,55711,25150,65959,102120,24301,15180,30234,18518,114061,67113,40866,12950,155514,23337,23750,38600,20459,65958,66069,22509,79100,124000,66464,21201,28200
5/10/22,20582,79467,35800,56274,25200,69047,105138,24107,15873,31104,19119,115252,68934,40962,13300,160177,24250,23900,38700,21559,67736,67915,22163,80400,129100,67034,22201,28100
5/11/22,21116,84031,36100,54867,26700,71503,106014,23960,16005,30764,19437,111083,69376,39811,13200,158817,24076,23550,39000,21656,67736,68498,22769,80500,126500,65990,22268,28900
5/12/22,19713,78177,33600,51116,25000,67082,102802,22305,15147,28948,18130,103340,66129,37029,12300,160177,22424,21950,36300,20459,65196,66943,21182,79000,124800,63141,20734,26900
5/13/22,18377,72721,31800,47552,23900,65679,97350,20746,14652,27169,17034,96193,61553,35830,11450,158040,22424,20450,33800,19423,61809,66069,19714,78000,125900,62761,19334,25300
5/16/22,18443,67661,32200,44925,24550,65398,92483,21282,14850,27472,17388,89542,60520,37509,11600,153280,23728,19050,32600,20070,62825,63931,19909,77000,126000,62476,19334,26250
5/17/22,19546,69447,34450,48020,26250,69959,98226,22743,15840,28910,18589,95796,64751,40099,12400,160760,25336,20350,34850,21365,64349,65000,20727,78000,128000,66464,20668,27400
5/18/22,19346,74308,34900,47552,26600,68556,102218,22743,15840,28910,18837,102447,65686,39715,12650,156874,24901,21750,36050,20847,63841,65000,20727,78000,125700,66749,20634,27400
5/19/22,19112,75201,34650,46989,26100,68064,102996,22353,16038,28683,18907,109594,65440,38852,12800,158234,24771,21750,35800,20167,64349,65097,20103,77900,125300,65515,20301,27400
5/20/22,19412,75400,34500,47083,25900,68415,101731,23084,16071,28494,19084,107013,65932,38852,12800,152017,24728,21600,35700,20329,63757,64903,20142,77800,125300,64660,20401,27350
5/23/22,19011,70538,33350,47645,25000,67714,100757,23084,15972,27812,18589,103737,64358,38612,12750,149686,23033,20350,34850,19423,62994,64806,19324,77400,125000,62951,19534,27350
5/24/22,19245,73415,33750,47739,26000,68906,102996,23522,16236,26412,18978,108204,65440,38372,12850,149589,24423,21750,35250,20005,64011,65000,19870,77600,125300,65420,20001,28100
5/25/22,20047,74011,34900,49521,26900,73678,105527,24691,16929,26072,19826,109693,68392,39715,13400,149589,25032,22750,36500,20653,65196,65972,20532,77700,125700,68268,21001,29450
5/26/22,20281,73812,35100,50178,26700,74099,104749,24691,16863,26488,19543,107807,68392,40818,13150,148618,25597,22400,36700,20459,64942,66749,20415,77700,125000,67699,20701,29600
5/27/22,21250,72919,35300,50271,27000,78449,107085,24837,17028,26829,19791,109197,72181,40866,13350,149589,25988,22250,37450,20912,65535,67721,20922,78000,127000,69313,20734,29800
5/30/22,21350,72423,35750,50178,27300,78099,107085,24788,17061,26829,19861,109197,71443,41634,13450,149006,25988,22800,37750,21365,66043,68498,21194,78500,132500,68838,21068,29950
5/31/22,21083,72523,35300,49334,27900,77116,114581,24545,17226,26261,19614,111579,71295,42209,13550,149103,25771,22350,37150,20944,66805,69600,20883,78800,130900,68078,20668,30150
6/1/22,20782,72721,35150,49615,27750,78449,117794,24496,17259,25996,19508,114161,71590,42689,13950,148715,25684,22250,36850,20718,68159,70300,20649,79300,131300,68268,20568,30050
6/2/22,21175,71530,34700,50740,27750,78239,115749,25129,17160,25088,19225,113466,72673,41730,13550,148618,25206,21550,36400,20718,66889,69500,20493,78900,128700,67509,20168,29950
6/3/22,21133,70935,34350,50834,27400,79993,120909,24350,16764,25277,19367,111977,75379,41730,13500,150755,25423,21150,36450,20620,65619,69400,20337,78800,127000,66749,20501,29950
6/6/22,21133,68753,34200,50740,27200,79291,126458,24496,16698,25201,19261,116146,76117,43073,13800,153960,25206,20500,36050,19876,67482,69300,20376,78500,127600,67224,20401,29950
6/7/22,20841,70836,33600,52616,27400,81116,126555,24642,16698,25126,19049,117039,75773,44799,14750,155320,24510,20200,36200,19164,68583,68500,20259,78000,126800,67034,20301,29900
6/8/22,21467,71431,34300,51960,27700,80695,125484,26347,17127,24899,19755,118429,75971,44943,15400,155126,25466,21600,37250,19585,67059,68500,20766,78100,127000,67414,21201,30400
6/9/22,21509,71431,34500,51585,27700,80905,124219,26736,17028,25580,19649,117635,75674,44991,15900,152503,25206,22300,37400,19455,65873,68300,20649,78100,127800,66654,21001,30900
6/10/22,21050,70439,33800,50459,27100,77186,115554,25421,17094,25428,19437,116146,74288,43169,15000,153183,24206,21900,37950,19228,65789,68300,20298,78000,127700,65990,20601,30500
6/13/22,19964,67463,31950,46989,25250,73245,114873,23668,16203,24066,18130,108204,69335,40291,15250,148618,22555,20600,36000,17901,64688,66000,18896,76400,124900,63046,19168,29000
6/14/22,20131,67463,32300,48208,25250,75710,122661,24107,16434,22931,18024,105524,71068,41346,15250,145704,21164,20900,35750,17157,65196,66000,17610,76600,124800,62761,19234,29150
6/15/22,19713,66570,32000,48208,24500,76899,120714,22451,16170,22250,17600,105226,73148,39331,14500,147646,19686,20700,35700,17189,64773,65900,17142,76700,124500,61242,19234,28900
6/16/22,20131,68455,32300,49146,24700,78174,124608,22889,16467,23461,17600,109892,78250,40339,15400,151920,19252,21000,36050,17351,66974,66000,17298,76600,125400,64565,19334,29200
6/17/22,19295,67165,31600,48302,23550,78174,130449,22110,16236,23200,16469,116146,76962,40195,16100,151532,17905,20250,34500,16509,64434,66000,16091,76600,124900,63331,18601,29350
6/20/22,19128,64586,29500,47270,22600,78174,121395,21233,15675,21600,15903,110190,73198,37653,15000,147646,16688,18850,33000,16218,64349,65000,15039,75600,127000,65515,18068,28700
6/21/22,19212,63098,30300,48302,23050,75710,116333,21136,15576,20800,15868,110190,72802,37413,13950,150560,15906,19200,33000,16606,65789,65000,14026,75000,127800,69977,18134,28000
6/22/22,19838,61510,30500,47927,23600,71801,108253,21233,15576,21500,16575,105226,69137,37892,13000,151532,17029,20500,34800,16962,64349,64800,15000,75000,129300,67034,18934,28500
6/23/22,19838,62800,31000,49427,25250,72651,113705,22110,15510,21800,16999,109197,71811,39044,13900,149006,17799,21300,35950,17157,64265,63200,15857,74200,128200,67129,18968,28050
6/24/22,19880,61808,31200,51397,24750,72651,110979,22159,15180,21800,16751,108701,71217,39139,13550,151143,17895,21200,35500,16833,63503,63200,16052,74600,128300,67889,18768,27550
6/27/22,20005,61609,31750,51678,25600,73500,111368,22743,15411,22900,17034,112175,70821,39811,13850,152309,19098,21500,35550,17286,63418,63500,16130,73800,133000,67509,19268,28750
6/28/22,20465,62502,33650,52804,26700,76219,112926,22889,16005,22500,17458,113168,72108,40099,13900,152600,18857,22550,36700,17869,64603,63800,17220,73600,133000,67224,20001,28850
6/29/22,20214,63990,34900,51585,26850,76474,113900,22305,16104,22750,17458,113168,72307,39331,13750,149589,19001,22600,36750,17739,63926,63300,17454,73400,132300,68648,20001,28450
6/30/22,20047,66471,33500,49240,26150,73245,112439,21964,15840,22300,17105,111182,70821,38660,13600,150172,18087,21500,35550,17578,63333,62100,16753,73500,130000,68553,19334,28550
7/1/22,20089,62701,35050,49802,26950,74775,110006,22012,16170,22400,17105,108701,69632,38948,13600,149492,18953,22000,36000,17675,62656,61400,17727,72600,130100,69977,19401,28650
